,value__sum_values,value__median,value__mean,value__length,value__standard_deviation,value__variance,value__root_mean_square,value__maximum,value__absolute_maximum,value__minimum
2022484408,44330.94292929293,66.9,73.88490488215488,600.0,16.704044119243076,279.02508993761916,75.74961557250765,131.22222222222223,131.22222222222223,53.16666666666666
2026352035,39231.7218975469,93.9375,92.52764598478042,424.0,12.697776646041616,161.2335317527599,93.39485426530528,121.75,121.75,63.8
2347167796,51131.73661616162,81.2,85.21956102693603,600.0,16.658972014192663,277.5213485696543,86.83256837266377,168.54545454545453,168.54545454545453,57.4
4020332650,41959.97236269089,64.59032258064516,69.93328727115149,600.0,11.551785353340543,133.44374484965311,70.88094534780875,105.375,105.375,52.02564102564103
4388161847,36790.78715728715,56.36666666666667,61.317978595478586,600.0,14.018676804113474,196.52329933818913,62.90006199022192,125.1,125.1,46.2
